function,E,lipschitz_factor,kernel,local_std_label,local_std_value,seed,init_x,safety_violations,no_opt_possible,final_pred_opt,avg_pred_opt,true_optimum,ratio,n_observations,setting,L_base,L_source,violation_class
rosenbrock_2D,0.0,1.0,matern52,medium,0.05,2,"[0.45878028869628906, 0.5240514278411865]",0,False,0.9984269142150879,0.986831953448634,1.0,0.9984269142150879,31,new_L_raw,13.763089123529726,new,none
rosenbrock_2D,0.0,1.0,matern52,medium,0.05,3,"[1.08746337890625, 1.9747974872589111]",0,False,0.9989129900932312,0.9194411635398865,1.0,0.9989129900932312,31,new_L_raw,13.763089123529726,new,none
rosenbrock_2D,0.0,1.0,matern52,medium,0.05,4,"[0.2385544776916504, 1.2363696098327637]",0,False,0.8039171099662781,0.7046128588338052,1.0,0.8039171099662781,31,new_L_raw,13.763089123529726,new,none
sphere_2D,0.05,1.1,matern52,medium,0.05,0,"[0.49625658988952637, 0.7682217955589294]",0,False,0.989526629447937,0.9454011571022772,1.0,0.989526629447937,31,old_L_factored,2.0,old,none
sphere_2D,0.05,1.1,matern52,medium,0.05,1,"[0.3971373438835144, 0.7543719410896301]",0,False,0.9906806945800781,0.9102240012538049,1.0,0.9906806945800781,31,old_L_factored,2.0,old,none
sphere_2D,0.05,1.1,matern52,medium,0.05,2,"[0.6146950721740723, 0.38101285696029663]",0,False,0.9713516235351562,0.9696096970189002,1.0,0.9713516235351562,31,old_L_factored,2.0,old,none
sphere_2D,0.05,1.1,matern52,medium,0.05,3,"[0.5096188187599182, 0.5824220776557922]",0,False,0.9739431142807007,0.9763655893264278,1.0,0.9739431142807007,31,old_L_factored,2.0,old,none
sphere_2D,0.05,1.1,matern52,medium,0.05,4,"[0.5596386194229126, 0.5590924024581909]",0,False,0.9963359236717224,0.9886077988532281,1.0,0.9963359236717224,31,old_L_factored,2.0,old,none
sphere_2D,0.05,1.1,matern52,medium,0.05,0,"[0.49625658988952637, 0.7682217955589294]",0,False,0.9752219319343567,0.9577583555252321,1.0,0.9752219319343567,31,new_L_factored,1.0,new,none
sphere_2D,0.05,1.1,matern52,medium,0.05,1,"[0.3971373438835144, 0.7543719410896301]",0,False,0.9791948795318604,0.9473026241025617,1.0,0.9791948795318604,31,new_L_factored,1.0,new,none
sphere_2D,0.05,1.1,matern52,medium,0.05,2,"[0.6146950721740723, 0.38101285696029663]",0,False,0.9850457310676575,0.9632087561392015,1.0,0.9850457310676575,31,new_L_factored,1.0,new,none
sphere_2D,0.05,1.1,matern52,medium,0.05,3,"[0.5096188187599182, 0.5824220776557922]",0,False,0.9841197729110718,0.9667735907339281,1.0,0.9841197729110718,31,new_L_factored,1.0,new,none
sphere_2D,0.05,1.1,matern52,medium,0.05,4,"[0.5596386194229126, 0.5590924024581909]",0,False,0.9964180588722229,0.9772463421667775,1.0,0.9964180588722229,31,new_L_factored,1.0,new,none
sphere_2D,0.0,1.0,matern52,medium,0.05,0,"[0.49625658988952637, 0.7682217955589294]",0,False,0.9455631375312805,0.9466011947201144,1.0,0.9455631375312805,31,old_L_raw,2.0,old,none
sphere_2D,0.0,1.0,matern52,medium,0.05,1,"[0.3971373438835144, 0.7543719410896301]",0,False,0.991381824016571,0.9505482335244456,1.0,0.991381824016571,31,old_L_raw,2.0,old,none
sphere_2D,0.0,1.0,matern52,medium,0.05,2,"[0.6146950721740723, 0.38101285696029663]",0,False,0.9814207553863525,0.9742752217477367,1.0,0.9814207553863525,31,old_L_raw,2.0,old,none
sphere_2D,0.0,1.0,matern52,medium,0.05,3,"[0.5096188187599182, 0.5824220776557922]",0,False,0.9920662641525269,0.978574316347799,1.0,0.9920662641525269,31,old_L_raw,2.0,old,none
sphere_2D,0.0,1.0,matern52,medium,0.05,4,"[0.5596386194229126, 0.5590924024581909]",0,False,0.9959011673927307,0.9862597988497827,1.0,0.9959011673927307,31,old_L_raw,2.0,old,none
sphere_2D,0.0,1.0,matern52,medium,0.05,0,"[0.49625658988952637, 0.7682217955589294]",6,False,0.9718220233917236,0.9582408666610718,1.0,0.9718220233917236,31,new_L_raw,1.0,new,major
sphere_2D,0.0,1.0,matern52,medium,0.05,1,"[0.3971373438835144, 0.7543719410896301]",4,False,0.993260383605957,0.9451950576997572,1.0,0.993260383605957,31,new_L_raw,1.0,new,major
sphere_2D,0.0,1.0,matern52,medium,0.05,2,"[0.6146950721740723, 0.38101285696029663]",3,False,0.991727888584137,0.9658182013419366,1.0,0.991727888584137,31,new_L_raw,1.0,new,major
sphere_2D,0.0,1.0,matern52,medium,0.05,3,"[0.5096188187599182, 0.5824220776557922]",4,False,0.9897992610931396,0.9636861085891724,1.0,0.9897992610931396,31,new_L_raw,1.0,new,major
sphere_2D,0.0,1.0,matern52,medium,0.05,4,"[0.5596386194229126, 0.5590924024581909]",5,False,0.9874069094657898,0.9737790765300873,1.0,0.9874069094657898,31,new_L_raw,1.0,new,major
rosenbrock_4D,0.05,1.1,matern52,medium,0.05,0,"[0.10518312454223633, -1.025367021560669, 0.33836936950683594, -1.867389440536499]",0,False,0.8984402418136597,0.8592813418757531,1.0,0.8984402418136597,31,old_L_factored,3.0,old,none
rosenbrock_4D,0.05,1.1,matern52,medium,0.05,1,"[1.0305263996124268, -0.8827564716339111, -0.3877229690551758, 0.9387378692626953]",0,False,0.9068554639816284,0.8700716610877745,1.0,0.9068554639816284,31,old_L_factored,3.0,old,none
rosenbrock_4D,0.05,1.1,matern52,medium,0.05,2,"[0.45878028869628906, -0.4759485721588135, 0.5484573841094971, -0.10215568542480469]",0,False,0.988973081111908,0.9822805023962452,1.0,0.988973081111908,31,old_L_factored,3.0,old,none
rosenbrock_4D,0.05,1.1,matern52,medium,0.05,3,"[-1.7595348358154297, 1.08746337890625, 0.9747974872589111, 0.3776848316192627]",0,False,0.9901911616325378,0.9361720412008224,1.0,0.9901911616325378,31,old_L_factored,3.0,old,none
rosenbrock_4D,0.05,1.1,matern52,medium,0.05,4,"[0.08811616897583008, -0.7170305252075195, 0.42951345443725586, 0.0930476188659668]",0,False,0.97231125831604,0.9802309486173815,1.0,0.97231125831604,31,old_L_factored,3.0,old,none
rosenbrock_4D,0.05,1.1,matern52,medium,0.05,0,"[0.10518312454223633, -1.025367021560669, 0.33836936950683594, -1.867389440536499]",0,False,0.8685828447341919,0.8372255775236315,1.0,0.8685828447341919,31,new_L_factored,3.2775618987289925,new,none
rosenbrock_4D,0.05,1.1,matern52,medium,0.05,1,"[1.0305263996124268, -0.8827564716339111, -0.3877229690551758, 0.9387378692626953]",0,False,0.9218853116035461,0.8696420538809991,1.0,0.9218853116035461,31,new_L_factored,3.2775618987289925,new,none
rosenbrock_4D,0.05,1.1,matern52,medium,0.05,2,"[0.45878028869628906, -0.4759485721588135, 0.5484573841094971, -0.10215568542480469]",0,False,0.9793666005134583,0.9781451398326505,1.0,0.9793666005134583,31,new_L_factored,3.2775618987289925,new,none
rosenbrock_4D,0.05,1.1,matern52,medium,0.05,3,"[-1.7595348358154297, 1.08746337890625, 0.9747974872589111, 0.3776848316192627]",0,False,0.9729802012443542,0.9242164973289736,1.0,0.9729802012443542,31,new_L_factored,3.2775618987289925,new,none
rosenbrock_4D,0.05,1.1,matern52,medium,0.05,4,"[0.08811616897583008, -0.7170305252075195, 0.42951345443725586, 0.0930476188659668]",0,False,0.9780906438827515,0.9817965799762357,1.0,0.9780906438827515,31,new_L_factored,3.2775618987289925,new,none
rosenbrock_4D,0.0,1.0,matern52,medium,0.05,0,"[0.10518312454223633, -1.025367021560669, 0.33836936950683594, -1.867389440536499]",0,False,0.8820781111717224,0.8455240572652509,1.0,0.8820781111717224,31,old_L_raw,3.0,old,none
rosenbrock_4D,0.0,1.0,matern52,medium,0.05,1,"[1.0305263996124268, -0.8827564716339111, -0.3877229690551758, 0.9387378692626953]",0,False,0.9314200282096863,0.8839353265300873,1.0,0.9314200282096863,31,old_L_raw,3.0,old,none
rosenbrock_4D,0.0,1.0,matern52,medium,0.05,2,"[0.45878028869628906, -0.4759485721588135, 0.5484573841094971, -0.10215568542480469]",0,False,0.9735895395278931,0.9738444166798745,1.0,0.9735895395278931,31,old_L_raw,3.0,old,none
rosenbrock_4D,0.0,1.0,matern52,medium,0.05,3,"[-1.7595348358154297, 1.08746337890625, 0.9747974872589111, 0.3776848316192627]",0,False,0.9743515849113464,0.9239510163184135,1.0,0.9743515849113464,31,old_L_raw,3.0,old,none
rosenbrock_4D,0.0,1.0,matern52,medium,0.05,4,"[0.08811616897583008, -0.7170305252075195, 0.42951345443725586, 0.0930476188659668]",0,False,0.9862713813781738,0.9806764221960499,1.0,0.9862713813781738,31,old_L_raw,3.0,old,none
rosenbrock_4D,0.0,1.0,matern52,medium,0.05,0,"[0.10518312454223633, -1.025367021560669, 0.33836936950683594, -1.867389440536499]",0,False,0.8663430213928223,0.833937487294597,1.0,0.8663430213928223,31,new_L_raw,3.2775618987289925,new,none
