Y,X1,X2,X3,X4,X5,X6,regret,iteration,seed,config,timestamp,run_label
0.5364482,0.03220274,0.17187738,0.33523324,0.09242817,0.3941551,0.6077336,0.48568982,99.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.52979916,0.02547079,0.19936049,0.3254932,0.08857499,0.39388192,0.6071877,0.48568982,100.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.9852614,0.5292251,0.39557385,,,,,0.0051851273,0.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
0.9939289,0.5163774,0.32587147,,,,,0.0051851273,1.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
1.0024121,0.48578796,0.28048676,,,,,0.0051851273,2.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
0.99062556,0.46760178,0.28901103,,,,,0.0051851273,3.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
1.00274,0.54642206,0.27369553,,,,,0.0051851273,4.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
0.996682,0.49314484,0.2779902,,,,,0.0051851273,5.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
0.99579316,0.46760178,0.28901103,,,,,0.0051851273,6.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
1.0064597,0.46760178,0.28901103,,,,,0.0051851273,7.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
0.9911096,0.46760178,0.28901103,,,,,0.0051851273,8.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
0.9930419,0.4618509,0.292579,,,,,0.0051851273,9.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
0.99092317,0.46760178,0.28901103,,,,,0.0051851273,10.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
0.9904186,0.46760178,0.28901103,,,,,0.0051851273,11.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
0.9915676,0.46760178,0.28901103,,,,,0.0051851273,12.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
1.0018672,0.46760178,0.28901103,,,,,0.0051851273,13.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
0.99963844,0.5461824,0.27376318,,,,,0.0051851273,14.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
0.9990968,0.46760178,0.28901103,,,,,0.0051851273,15.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
0.9901793,0.46760178,0.28901103,,,,,0.0051851273,16.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
1.0037143,0.46760178,0.28901103,,,,,0.0051851273,17.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
0.99297005,0.46760178,0.28901103,,,,,0.0051851273,18.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
1.0038006,0.46760178,0.28901103,,,,,0.0051851273,19.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
1.0013738,0.46760178,0.28901103,,,,,0.0051851273,20.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
1.0059502,0.5262198,0.2725395,,,,,0.0051851273,21.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
1.000296,0.48512062,0.28063363,,,,,0.0051851273,22.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
0.9904741,0.46760178,0.28901103,,,,,0.0051851273,23.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
1.0019298,0.46760178,0.28901103,,,,,0.0051851273,24.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
0.9914815,0.46760178,0.28901103,,,,,0.0051851273,25.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
1.0046288,0.5439184,0.27342656,,,,,0.0051851273,26.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
0.9977868,0.46760178,0.28901103,,,,,0.0051851273,27.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
1.0036087,0.46760178,0.28901103,,,,,0.0051851273,28.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
0.98969877,0.46760178,0.28901103,,,,,0.0051851273,29.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
1.0013351,0.46760178,0.28901103,,,,,0.0051851273,30.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
1.0069689,0.48163363,0.28209516,,,,,0.0051851273,31.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
0.99939513,0.46760178,0.28901103,,,,,0.0051851273,32.0,0,se_rosenbrock_2D,2026-08-08_14-14-05,rosenbrock2d_ucb_constant
